text	label	prediction	TP
global web blog community called action lend support two imprisoned iranian bloggers month-old committee protect bloggers asking blogs dedicate sites 22 february `` free mojtaba arash day '' arash sigarchi mojtaba saminejad prison iran blogs free sites people publish thoughts opinions iranian authorities clamping prominent sites time `` hope day focus people '' curt hopkins director committee told bbc news website group list actions says bloggers take including writing local iranian embassies committee deemed tuesday `` free mojtaba arash day '' part first campaign calling blogsphere name worldwide community bloggers help raise awareness plight mojtaba arash well `` cyber-dissidents '' `` blog least could put nothing blog except 'free mojtaba arash day '' said mr hopkins `` would mean could see phrase 7.1 million times alone shine light situation `` n't one find one dedicated takes 30 seconds '' technorati blog search engine tracks six million blogs says 12,000 added daily blog created every 5.8 seconds according us research think-tank committee protect bloggers started us blogger curt hopkins counts fired flight attendant blogger ellen simonetti deputy director since started international bloggers bill rights global petition protect bloggers work although website committed human rights issues means aims hub organisation information support bloggers particular rights freedom speech committee although month old aims focal point blogger action similar issues future operate non-for-profit organisation `` blogging weird man 's land people think one thing another depending point view '' said mr hopkins `` think pundits kind like journalists like private blog publishing platform `` constituency cold '' human rights issues countries track record restricting published media concern bloggers question bloggers rights say want sites thorny one received much press attention recently high profile cases employees sacked said personal often anonymous blogs highlighted muddy situation blogsphere currently `` big messy argument '' explained mr hopkins added `` new way business clamp downs '' way issues get tested courts said mr hopkins `` part whole messy conversation '' `` n't already got bloggers company tomorrow n't blogger policy better start looking one mr hopkins said blogsphere doubling every five months powerful takes little time expertise create blog `` everyone mums radicals conservatives '' said many companies offer easy-to-use services create blog publish minutes global community `` essential difference call 'templating software gives every single person earth chance one `` n't even computer ''	4	2	False
tories say ministers must respond parliament claims legal advice used justify iraq war drawn number 10 downing street denied claims made new book attorney general lord goldsmith 's advice lord goldsmith also denied saying `` leaned '' way conservatives liberal democrats say want publication full legal advice given attorney general government consistently refused publish lord goldsmith 's advice legality war saying papers always kept confidential short statement lord goldsmith 's position presented written parliamentary answer 17 march 2003 crucial commons vote military action said `` plain '' iraq continued material breach un resolution 1441 new book lawless world philippe sands qc international law professor suggests parliamentary answer written downing street according mr sands lord goldsmith warned tony blair document march 2003 use force iraq could illegal would safer seek second un resolution sanctioning military action mr sands told newsnight government prepared legal team able defend case case legal action taken uk war 10 march military chiefs reportedly asked unequivocal statement legality war make sure troops could defended court law book serialised guardian newspaper says 13 march lord goldsmith met home office minister lord falconer downing street adviser baroness morgan `` downing street proceeded set lord goldsmith 's view parliamentary answer published 17 march '' said mr sands tory leader michael howard reiterated calls publication full legal advice given attorney general warning `` issue go away '' `` revelations throw intensive spotlight cavalier way government operates even issue important peace war `` government needs act restore public confidence trust '' liberal democrat foreign affairs spokesman menzies campbell repeated party 's calls lord goldsmith 's first piece legal advice made public `` public interest government claims justifies non-publication whole advice served fullest disclosure '' statement newsnight lord goldsmith said `` parliamentary answer march 17 2003 explained genuinely held independent view military action lawful existing security council resolutions `` certainly view expressed result leaned way already made clear written number 10 '' prime minister 's official spokesman also rejected claims saying `` attorney general made clear words judgement '' ex-foreign secretary robin cook says advice published said claims suggested parliament received pr 233 cis lord goldsmith 's second opinion actually drafted 10 would wrong even lord goldsmith signed statement mr cook said attorney general 's advice `` independent legal opinion '' subject `` political negotiation kind ''	2	1	False
number europeans broadband exploded past 12 months web eating tv viewing habits research suggests 54 million people hooked net via broadband 34 million year ago according market analysts nielsen/netratings total number people online europe broken 100 million mark popularity net meant many turning away tv say analysts jupiter research found quarter web users said spent less time watching tv favour net report nielsen/netratings found number people fast internet access risen 60 past year biggest jump italy rose 120 britain close behind broadband users almost doubling year growth fuelled lower prices wider choice always-on fast-net subscription plans `` twelve months ago high speed internet users made one third audience europe 50 expect number keep growing '' said gabrielle prior nielsen/netratings analyst `` number high-speed surfers grows websites need adapt update enhance content retain visitors encourage new ones '' total number europeans online rose 12 100 million past year report showed biggest rise france italy britain germany ability browse web pages high speed download files music films play online games changing people spare time study analysts jupiter research suggested broadband challenging television viewing habits homes broadband 40 said spending less time watching tv threat tv greatest countries broadband particular uk france spain said report said tv companies faced major long-term threat next five years broadband predicted grow 19 37 households 2009 `` year-on-year continuing see seismic shift europe 's population consume media information entertainment big implications tv newspaper radio '' said jupiter research analyst olivier beauvillian	4	2	False
newcastle fined welsh striker craig bellamy two weeks wages £80,000 following row manager graeme souness bellamy 25 put transfer list although train first team tuesday magpies chairman freddy shepherd told newcastle evening chronicle `` money player thinking bigger club `` individual chairman manager player '' souness dropped bellamy sunday 's game arsenal claiming welshman feigned injury asked play position `` heard manager saying shock '' bellamy said `` thought 'not gone behind back 's lying '' said response souness remarks wales international refused apologise `` wo n't apologise done nothing wrong '' told evening chronicle `` 's doubt '' difficult relationship souness bellamy boiled weekend led war words media bellamy 's claim souness lied background bust-up strongly denied shepherd accused striker `` cheating '' club `` wish put record straight regarding bellamy situation '' said shepherd `` craig walked training ground saying hamstring tight friday failed reveal told members squad training intended feign injury `` graeme discovered immediately ordered bellamy attend meeting office `` meeting bellamy admitted graeme told players going `` fake '' injury training walk `` also agreed meeting apologise team-mates behaviour n't resulted action taken manager weekend fully support `` book cheating club supporters manager team-mates `` paid extremely well consider behaviour totally unacceptable totally unprofessional '' bellamy 's latest outburst would appear make chances first-team recall remote even newcastle said player would sold bellamy insisted intention handing transfer request `` n't want fans think one minute would n't play club '' said `` 'd play anywhere club even goal `` 's difficult situation moment 'd never ask leave club `` club means much could n't know could n't come back play newcastle would hurt much ''	3	2	False
japanese industrial output fell october unemployment rose casting doubt strength country 's economic recovery production dropped 1.6 october reflecting decline exports unemployment levels edged 0.1 4.7 slightly higher forecast economy grown six quarters growth slowed dramatically last quarter amid weaker global demand japan 's government remains optimistic due strong domestic demand analysts forecasting 0.1 rise month month industrial output according figures ministry economy trade industry meti decline led fall demand electronic parts mobile phones digital televisions although inventories fell 0.7 month month 36 higher year ago `` 's sign economy 's adjustment phase stronger expected '' said takashi yamanaka economist ufj bank japan downgraded overall economic assessment earlier month first time year growth slowed 0.3 quarter ending september 30 6.3 first quarter 2004 experts believe economy -which stagnated 1990s -may entering softer patch back rising oil prices falling dollar japanese government officials played latest data arguing domestic consumer demand still resilient `` outlook november positive n't think one say conditions worsened fall october '' said meti official despite rise unemployment jobless figures still way historical highs recent years comparatively weak economic date preyed shares nikkei afternoon trade	0	1	False
marat safin admitted thought suffering another australian open final nightmare lost opening set lleyton hewitt russian lost 2002 2004 finals fought back brilliantly win 1-6 6-3 6-4 6-4 `` nervous could n't play tennis '' said safin `` started really well n't nervous thinking two finals played n't successful '' added `` really deal pressure normally never happens come final tight want win `` tried play tennis could n't huge experience 's two grand slam titles 's 24 titles 's great player deals pressure '' 4-1 third set safin played best tennis reel seven games take control match `` third set sudden turn around completely way could n't expect '' said safin `` made couple mistakes little bit lucky point confidence came back back game '' russian revealed victory semi-final win world number one roger federer given massive boost future `` get huge confidence roger great player '' said safin `` beat lleyton 's like get much confidence really play great `` win big titles beat huge players finals semi-finals ''	3	2	False
older people women increasingly taking charge protecting home computers malicious net attacks according two-year study number women buying programs protect pcs virus spam spyware attacks rose 11.2 year 2002 2004 study net security firm preventon shows security messages reaching diversity surfers thought 40 buying home net security programs retired last three years gone average 13.2 retired women 53 buying security software retired men research reflects changing stereotype demographics web users well growing awareness greater risks high-speed broadband net connections pose surfers study predicts 40 home pc net security buyers women 2005 could even overtake men main buyers 2007 current rates persist according research `` think older people become vigilant protecting pcs tend cautious want insurance policy case something go wrong '' said one over-60 woman took part research `` started young male stereotype computer users last 10 years '' paul goosens head preventon told bbc news website `` seeing real people sexes often women access home '' net service providers still need take responsibility making sure people educated net threats go online particuarly new broadband said programs also need tailored installed dial-up users slower connection said mr goosens security software easy use simple interfaces instructions written non-technical language added nature security threats also becoming e-mail viruses high-profile complaints rogue diallers spyware programs surreptitiously install computers also raised awareness need combination anti-virus firewall spyware-removal programs without protection kinds programs picked surfing web normally 30,000 pcs day globally recruited networks spread spam viruses study security symantec showed last year viruses written make headlines infecting millions also getting rarer according net security experts programs unleashed directly profit criminal gangs many based eastern europe designed show technical skills cause nuisance research shows people taking criminal net threats seriously said mr goosens reported press much `` seeing older users educated media seeing picking threat asking right questions '' explained `` likely younger users naively assume using reputable service provider safe connect net '' unprotected computer broadband connection breached infected viruses spyware within minutes end year thought 30 uk homes broadband net access july last year number uk households accessing net via broadband surpassed using dial-up first time according office national statistics	4	2	False
chinese police detained three top executives milk firm yili reports suggesting investigated embezzlement yili full name inner mongolia yili industrial confirmed chairman chief financial officer securities representative custody company china 's third-largest milk producer hold emergency meeting debate issue yili spokesman said may move oust chairman zheng junhuai spokesman say three detained police official xinhua news agency said arrest linked alleged embezzlement yili recently subject intense media speculation financial operations executives suspected wrongly using 417m yuan 50.4m £26m company funds support management buyout back july 2003 yili 's shares suspended tuesday fallen 10 monday company two main rivals market leader mengniu dairy second place bright dairy dominate chinese milk market grown almost 30 past five years analysts wondered scandal yili latest befall chinese companies year could followed revelations corporate wrongdoing `` investors wonder yili 's scandal one slew uncovered year n't tip iceberg '' said chen huiqin analyst huatai securities	0	1	False
war words microsoft open source movement heated week linux founder linus torvalds led attack software patents panel discussion linux summit california mr torvalds said software patents problem open source movement mitchell kapor chairman mozilla foundation warned microsoft could use patent lawsuits future linux freely-available alternative microsoft 's windows relies community programmers development based open source principles allow others use modify without pay licence fees attack software patents comes time ibm made 500 patents freely available companies expected follow suit 150,000 300,000 registered software patents us open source developers argue many never granted view corroborated uk patent office `` patents dubious validity wielded big companies force smaller companies buy licenses knowledge ca n't afford take court '' said dr jeremy philpott uk patent office panel members worried microsoft would issue series patent lawsuits future `` totally pushed wall business model longer holds era open source economically superior way produce software ... course 're going unleash wmds '' mr kapor reported saying microsoft want comment directly referring issue instead trade body intellect member `` far intellect concerned open source patents co-existed many years without problems '' said spokeswoman jill sutherland `` industry respects open source movement fact many members represent use open source system develop software '' `` think important point make companies able choose patents copyrights open source treatment intellectual discoveries forced using one '' added	4	2	False
liberian economy started grow 2004 `` sustained deep reform efforts '' needed ensure long term growth international monetary fund imf said imf mission made comments report published following 10 days talks transition government imf said according data provided liberians country 's gdp rose 2004 31 decline 2003 liberia recovering 14-year civil war came end 2003 power-sharing national transition government liberia remain place elections 11 october first presidential parliamentary ballots since conflict ended imf said liberia 's economy started grow last year thanks `` continued strong recovery rubber production domestic manufacturing local services including post-conflict reconstruction '' imf however remains cautious sees lack transparency government actions particular pointed mystery surrounding sale iron ore stockpiles alleged disappearance import export permits matters investigated liberian authorities imf called findings made public imf also said crucial central bank liberia strengthened national budget effectively managed sound economic basis built allow country 's large external debt addressed `` imf team stands ready assist liberian authorities strengthening areas mentioned '' said report `` team agreed liberian authorities period elections inauguration new government pose exceptional challenges fiscal management expresses willingness provide ... continued support ''	0	2	False
